,NombresPokemon,TipoDominante,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,poison,psychic,rock,steel,water
307,Houndour,poison,0,1,0,0,0,1,3,0,0,0,0,2,4,0,1,0,0
308,Huntail,ice,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2
309,Hydreigon,dragon,0,1,5,0,0,0,2,2,0,0,0,5,2,0,3,1,0
310,Hypno,poison,0,0,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0
311,Igglybuff,ground,0,0,1,0,0,0,1,1,0,1,2,2,2,0,0,0,1
312,Illumise,bug,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1
313,Inkay,poison,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
314,Ivysaur,poison,0,0,0,0,0,0,0,0,1,5,1,1,6,0,1,0,1
315,Jellicent,poison,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3
316,Jigglypuff,ice,0,0,1,0,1,0,2,1,0,1,2,6,2,0,0,0,1
317,Jirachi,ground,0,0,0,0,0,0,1,1,0,1,2,1,2,0,0,0,1
318,Jolteon,ice,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,0,0
319,Joltik,poison,2,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0
320,Jumpluff,poison,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0
321,Jynx,ice,0,1,0,0,0,0,0,0,0,1,1,5,2,1,0,0,1
322,Kabuto,rock,0,0,0,0,0,1,0,0,1,0,1,1,2,0,4,0,1
323,Kabutops,rock,0,0,0,0,0,1,0,0,1,0,1,1,2,0,5,0,1
324,Kadabra,ground,0,1,0,0,0,0,1,1,0,1,2,2,2,1,0,0,0
325,Kakuna,poison,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
326,Kangaskhan,rock,0,0,0,0,0,1,2,0,1,0,0,3,2,0,4,0,1
327,Karrablast,poison,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
328,Kecleon,rock,0,0,0,0,0,0,2,0,0,1,0,2,2,0,3,0,1
329,Keldeo,poison,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1
330,Kingdra,dragon,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,2
331,Kingler,rock,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,1
332,Kirlia,ice,0,0,1,0,1,0,1,0,0,1,2,5,2,0,0,0,0
333,Klang,ground,0,0,0,1,0,0,0,1,0,0,2,2,2,0,2,0,0
334,Klefki,fairy,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0
335,Klink,ground,0,0,0,1,0,0,0,1,0,0,2,2,2,0,2,0,0
336,Klinklang,ground,0,0,0,1,0,0,0,1,0,0,2,2,2,0,2,0,0
337,Koffing,poison,0,1,0,0,0,0,1,0,1,0,0,1,8,0,0,0,0
338,Krabby,rock,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,1
339,Kricketot,bug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Kricketune,bug,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
341,Krokorok,rock,0,1,0,0,0,0,1,0,0,1,0,1,3,0,4,0,0
342,Krookodile,rock,0,1,3,0,0,0,1,0,0,1,1,1,3,0,4,0,0
343,Kyogre,rock,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2
344,Kyurem,dragon,0,0,5,0,0,0,0,2,0,0,0,3,2,0,3,1,0
345,Kyurem-Black,dragon,0,0,5,0,0,0,0,2,0,0,0,3,2,0,3,1,0
346,Kyurem-White,dragon,0,0,5,0,0,0,0,2,0,0,0,4,2,0,3,1,0
347,Lairon,rock,0,0,1,0,0,0,0,0,1,0,1,0,2,0,4,0,1
348,Lampent,poison,0,1,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0
349,Landorus,rock,0,0,0,0,0,0,0,1,0,1,2,0,4,0,5,0,0
350,Landorus-Therian,rock,0,0,0,0,0,0,0,1,0,1,2,0,4,0,5,0,0
351,Lanturn,water,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,3
352,Lapras,ice,0,0,2,0,0,1,0,0,2,0,0,4,2,0,1,0,3
353,Larvesta,bug,2,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0
354,Larvitar,rock,0,1,1,0,0,0,0,0,1,0,1,1,2,0,4,0,0
355,Latias,dragon,0,0,3,0,0,0,0,2,0,1,1,1,2,0,0,1,2
356,Latios,dragon,0,0,4,0,0,0,0,2,0,1,1,1,2,0,0,1,1
357,Leafeon,grass,0,0,0,0,0,0,0,0,1,2,0,2,2,0,1,0,0
358,Leavanny,poison,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0
359,Ledian,bug,2,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0
360,Ledyba,bug,2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
361,Lickilicky,rock,0,0,1,0,0,0,2,0,1,0,0,2,2,0,4,0,1
362,Lickitung,rock,0,0,1,0,0,0,2,0,1,0,0,2,2,0,4,0,1
363,Liepard,ice,0,1,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0
364,Lileep,poison,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3,0,0
365,Lilligant,grass,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
366,Lillipup,ice,0,0,0,0,0,1,1,0,0,0,0,2,2,0,2,0,0
367,Linoone,ice,0,0,0,0,0,1,0,0,0,2,0,3,3,0,2,0,1
368,Litleo,fire,0,1,0,0,0,0,3,0,0,0,0,2,2,0,1,0,0
369,Litwick,poison,0,1,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0
370,Lombre,ice,0,0,0,0,0,0,1,0,0,1,0,4,2,0,1,0,3
371,Lopunny,ice,0,0,0,0,0,1,1,1,1,2,0,4,2,0,1,0,1
372,Lotad,ice,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2
373,Loudred,ice,0,0,0,0,1,0,2,0,0,0,1,6,2,0,3,0,1
374,Lucario,poison,0,1,1,0,0,1,0,1,1,0,1,2,4,0,4,0,1
375,Ludicolo,ice,0,0,0,0,0,0,1,0,0,1,0,4,2,0,2,0,3
376,Lugia,dragon,0,0,3,0,0,0,0,2,0,0,1,3,2,0,1,1,1
377,Lumineon,water,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
378,Lunatone,rock,0,0,0,0,0,0,0,1,0,1,3,1,2,0,4,0,0
379,Luvdisc,water,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
380,Luxio,ice,0,0,0,1,0,0,1,0,0,0,1,2,2,0,0,0,0
381,Luxray,electric,0,0,0,3,0,0,1,0,0,0,2,2,2,0,0,0,0
382,Machamp,poison,0,0,0,0,0,1,2,0,1,0,1,2,4,0,4,0,0
383,Machoke,poison,0,0,0,0,0,1,2,0,1,0,1,2,4,0,4,0,0
384,Machop,poison,0,0,0,0,0,1,2,0,1,0,1,2,4,0,4,0,0
385,Magby,fire,0,0,0,0,0,0,3,0,0,0,0,1,3,0,1,0,0
386,Magcargo,rock,0,0,0,0,0,0,1,0,1,0,1,0,3,0,5,0,0
387,Magikarp,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Magmar,fire,0,0,0,0,0,0,3,0,0,0,0,1,3,0,2,0,0
389,Magmortar,rock,0,0,0,0,0,0,3,0,0,0,0,2,3,0,4,0,0
390,Magnemite,ground,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0
391,Magneton,ground,0,0,0,2,0,0,0,1,0,0,3,0,2,0,0,0,0
392,Magnezone,ground,0,0,0,2,0,0,0,1,0,0,3,0,2,0,0,0,0
393,Makuhita,poison,0,0,0,0,0,1,1,0,1,0,1,1,4,0,4,0,0
394,Malamar,poison,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
395,Mamoswine,ice,0,0,0,0,0,1,0,0,1,0,0,4,2,0,4,0,1
396,Manaphy,poison,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2
397,Mandibuzz,flying,0,1,0,0,0,0,0,2,0,0,0,1,2,0,2,1,0
398,Manectric,electric,0,0,0,3,0,1,1,0,1,0,2,1,2,0,0,0,0
399,Mankey,poison,0,0,0,0,0,1,1,0,1,0,1,2,5,0,4,0,0
400,Mantine,poison,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,2
401,Mantyke,poison,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2
402,Maractus,poison,0,0,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0
403,Mareep,electric,0,0,0,3,0,1,0,0,0,0,2,1,2,0,0,0,0
404,Marill,water,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,4
405,Marowak,ice,0,0,0,0,0,0,2,0,0,0,1,4,2,0,4,0,0
406,Marshtomp,ice,0,0,0,0,0,1,1,0,2,1,0,4,4,0,4,0,3
407,Masquerain,bug,2,0,0,0,0,1,0,2,1,0,0,1,2,0,0,0,2
408,Mawile,ice,0,1,1,0,1,0,2,0,0,1,2,5,5,0,3,0,0
409,Medicham,poison,0,0,0,0,0,1,1,1,1,1,2,1,4,0,3,0,0
410,Meditite,poison,0,0,0,0,0,1,1,1,1,1,2,1,4,0,3,0,0
411,Meganium,grass,0,0,1,0,0,0,0,0,0,5,1,1,3,0,2,0,1
412,Meloetta,ice,0,0,0,0,0,0,1,1,0,1,2,4,2,0,1,0,0
413,Meowstic-F,ice,0,1,1,0,1,0,0,1,0,0,2,3,2,0,0,0,0
414,Meowstic-M,ice,0,2,1,0,1,0,0,1,0,0,2,3,2,1,0,0,0
415,Meowth,ice,0,1,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1
416,Metagross,rock,0,1,0,0,0,0,0,1,0,1,3,1,3,1,4,0,0
417,Metang,rock,0,1,0,0,0,0,0,1,0,1,3,1,3,1,4,0,0
418,Metapod,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,Mew,poison,1,1,3,0,0,0,2,3,0,1,4,6,8,0,5,1,1
420,Mewtwo,poison,0,1,0,0,0,0,2,1,0,1,2,3,4,1,4,0,1
421,Mienfoo,poison,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0
422,Mienshao,poison,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0
423,Mightyena,poison,0,1,0,0,0,1,1,0,0,0,0,3,4,0,1,0,0
424,Milotic,dragon,0,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,3
425,Miltank,ice,0,0,0,0,0,0,1,0,1,0,0,3,2,0,3,0,1
426,Mime Jr.,poison,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0
427,Minccino,poison,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0
428,Minun,ice,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,0
429,Misdreavus,ice,0,1,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0
430,Mismagius,ice,0,1,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0
431,Moltres,fire,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,1,0
432,Monferno,poison,0,0,0,0,0,0,4,0,0,2,0,3,5,0,4,0,1
433,Mothim,poison,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
434,Mr. Mime,ground,0,0,1,0,0,0,1,0,0,1,2,2,2,0,0,0,0
435,Mudkip,poison,0,0,0,0,0,1,1,0,2,1,0,3,4,0,4,0,3
436,Muk,poison,0,1,0,0,0,0,2,0,1,0,0,2,10,0,3,0,0
437,Munchlax,rock,0,0,0,0,0,1,2,0,1,0,0,3,3,0,4,0,1
438,Munna,ground,0,0,0,0,0,0,0,1,1,0,2,1,2,0,2,0,0
439,Murkrow,flying,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0
440,Musharna,ground,0,0,0,0,0,0,0,1,1,0,2,1,2,0,2,0,0
441,Natu,flying,0,1,0,0,0,0,0,2,0,1,1,0,2,1,0,1,0
442,Nidoking,poison,0,0,2,0,0,0,2,0,0,0,1,5,12,0,4,0,1
443,Nidoqueen,poison,0,0,2,0,0,0,2,0,0,0,1,5,14,0,4,0,1
444,Nidoran-F,poison,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,0,1
445,Nidoran-M,poison,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,0,1
446,Nidorina,poison,0,0,0,0,0,0,0,0,0,0,0,3,13,0,1,0,1
447,Nidorino,poison,0,0,0,0,0,0,0,0,0,0,0,3,11,0,1,0,1
448,Nincada,bug,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
449,Ninetales,fire,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
450,Ninjask,bug,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
451,Noctowl,flying,0,0,0,0,0,1,0,2,1,0,0,2,2,0,0,1,0
452,Noibat,ice,0,1,1,0,0,0,0,2,0,0,0,3,2,0,0,1,1
453,Noivern,ice,0,1,2,0,0,0,0,2,0,0,0,3,2,0,0,1,1
454,Nosepass,rock,0,0,0,0,0,0,1,1,0,0,3,2,2,0,6,0,0
455,Numel,rock,0,0,0,0,0,0,1,0,1,0,0,1,2,0,3,0,0
456,Nuzleaf,rock,0,1,0,0,0,0,0,0,0,2,1,1,2,0,3,0,0
457,Octillery,poison,0,0,0,0,0,0,1,0,0,0,1,1,5,0,1,0,4
458,Oddish,poison,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0
459,Omanyte,rock,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,2
460,Omastar,rock,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,0,2
461,Onix,rock,0,0,3,0,0,0,0,0,1,1,1,1,2,0,7,0,0
462,Oshawott,water,0,0,0,0,0,0,1,0,0,2,0,1,2,0,1,0,4
463,Pachirisu,poison,0,0,0,2,0,0,0,0,0,1,1,1,3,0,0,0,0
464,Palkia,dragon,0,0,4,0,0,0,1,1,0,0,1,3,2,0,3,0,1
465,Palpitoad,poison,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,1
466,Pancham,ice,0,1,0,0,0,0,1,1,0,1,0,5,4,0,3,0,0
467,Pangoro,poison,0,1,1,0,0,0,1,1,0,1,0,5,6,0,3,0,0
468,Panpour,ice,0,0,0,0,1,0,0,0,0,1,0,5,3,0,2,0,3
469,Pansage,ice,0,0,0,0,1,0,0,0,0,2,0,3,3,0,2,0,0
470,Pansear,fire,0,0,0,0,1,0,3,0,0,1,0,3,3,0,2,0,0
471,Paras,poison,1,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0
472,Parasect,poison,1,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0
473,Patrat,poison,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0
474,Pawniard,poison,0,1,0,0,0,0,0,0,0,1,1,2,4,0,3,0,0
475,Pelipper,water,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,1,4
476,Persian,ice,0,1,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1
477,Petilil,grass,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
478,Phanpy,ice,0,0,0,0,0,1,0,0,0,0,0,3,3,0,3,0,0
479,Phantump,poison,0,1,0,0,0,0,0,0,1,2,0,0,5,0,2,0,0
480,Phione,poison,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2
481,Pichu,ice,0,0,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0
482,Pidgeot,flying,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,1,0
483,Pidgeotto,flying,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,1,0
484,Pidgey,flying,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,1,0
485,Pidove,flying,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0
486,Pignite,poison,0,0,0,0,0,1,3,0,1,2,0,1,5,0,3,0,1
487,Pikachu,ice,0,0,0,1,1,0,0,0,0,1,1,3,2,0,1,0,0
488,Piloswine,ice,0,0,0,0,0,1,0,0,1,0,0,3,2,0,3,0,1
489,Pineco,poison,1,0,0,0,0,0,0,1,0,0,1,0,3,0,3,0,0
490,Pinsir,rock,1,0,0,0,0,0,0,0,0,0,1,2,2,0,4,0,0
491,Piplup,ice,0,0,0,0,0,0,1,0,0,2,0,3,2,0,1,0,3
492,Plusle,ice,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,1
493,Politoed,ice,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,3
494,Poliwag,water,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3
495,Poliwhirl,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,3
496,Poliwrath,poison,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,3
497,Ponyta,fire,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0
498,Poochyena,poison,0,1,0,0,0,1,1,0,0,0,0,3,4,0,1,0,0
499,Porygon,ground,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0
500,Porygon2,ground,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0
501,Porygon-Z,ground,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0
502,Primeape,poison,0,0,0,0,0,1,1,0,1,0,1,2,5,0,4,0,0
503,Prinplup,ice,0,0,0,0,0,0,1,0,0,2,0,3,2,0,2,0,3
504,Probopass,rock,0,0,0,0,0,0,1,1,0,0,3,2,2,0,6,0,0
505,Psyduck,water,0,0,0,0,0,1,0,0,1,0,1,2,2,0,1,0,4
506,Pumpkaboo,poison,0,1,0,0,0,0,1,0,1,1,0,0,3,0,2,0,0
507,Pumpkaboo-Large,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Pumpkaboo-Small,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Pumpkaboo-Super,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,Pupitar,rock,0,1,1,0,0,0,0,0,1,0,1,1,2,0,4,0,0
511,Purrloin,ice,0,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0
512,Purugly,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
513,Pyroar,fire,0,1,0,0,0,0,3,0,0,0,0,2,2,0,1,0,0
514,Quagsire,poison,0,0,0,0,0,0,0,0,1,0,0,3,4,0,3,0,2
515,Quilava,fire,0,0,0,0,0,1,2,0,1,1,0,1,2,0,1,0,1
516,Quilladin,poison,0,0,0,0,0,0,0,0,1,3,1,1,5,0,3,0,1
517,Qwilfish,poison,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2
518,Raichu,ice,0,0,0,1,1,0,0,0,0,1,1,3,2,0,1,0,0
519,Raikou,poison,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
520,Ralts,ice,0,0,1,0,1,0,1,0,0,1,2,5,2,0,0,0,0
521,Rampardos,rock,0,0,2,0,0,0,2,0,1,0,1,1,2,0,5,0,0
522,Rapidash,poison,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0
523,Raticate,poison,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0
524,Rattata,poison,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0
525,Regice,rock,0,0,0,0,0,0,0,1,1,0,1,2,2,0,5,0,0
526,Regigigas,rock,0,0,0,0,0,1,1,1,1,0,2,1,2,0,5,0,0
527,Regirock,rock,0,0,0,0,0,0,1,1,1,0,2,1,2,0,6,0,0
528,Registeel,rock,0,0,0,0,0,0,0,1,1,0,2,1,2,0,5,0,0
529,Relicanth,rock,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,3
530,Remoraid,water,0,0,0,0,0,0,1,0,0,0,1,1,3,0,1,0,4
531,Reshiram,dragon,0,0,5,0,0,0,2,2,0,0,0,2,2,0,3,1,0
532,Reuniclus,rock,0,0,0,0,0,0,1,1,0,1,2,1,2,0,3,0,0
533,Rhydon,rock,0,0,3,0,0,0,3,0,1,1,1,3,4,0,6,0,0
534,Rhyhorn,rock,0,0,2,0,0,0,2,0,1,1,1,2,4,0,6,0,0
535,Rhyperior,rock,0,0,3,0,0,0,3,0,1,1,1,3,4,0,7,0,0
536,Riolu,poison,0,0,0,0,0,1,0,1,1,0,1,2,4,0,3,0,0
537,Roggenrola,rock,0,0,0,0,0,0,0,1,1,0,2,0,2,0,5,0,0
538,Roselia,poison,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,1
539,Roserade,poison,0,0,0,0,0,0,0,0,0,3,1,0,9,0,0,0,1
540,Rotom,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
541,Rotom-Fan,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
542,Rotom-Frost,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
543,Rotom-Heat,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
544,Rotom-Mow,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
545,Rotom-Wash,poison,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
546,Rufflet,rock,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,0
547,Sableye,poison,0,1,0,0,0,1,1,1,1,0,2,2,4,0,2,0,1
548,Salamence,dragon,0,0,7,0,0,0,2,2,0,0,0,1,2,0,3,1,0
549,Samurott,water,0,0,1,0,0,0,1,0,0,2,0,1,2,0,1,0,4
550,Sandile,poison,0,1,0,0,0,0,1,0,0,0,0,1,3,0,3,0,0
551,Sandshrew,poison,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,0,0
552,Sandslash,poison,0,0,0,0,0,0,0,0,0,1,0,0,6,0,4,0,0
553,Sawk,poison,0,0,0,0,0,0,1,0,0,1,0,3,4,0,3,0,0
554,Sawsbuck,grass,0,0,0,0,0,1,0,0,0,2,0,2,2,0,1,0,0
555,Scatterbug,poison,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
556,Sceptile,grass,0,0,3,0,0,0,0,0,0,5,1,2,2,0,4,0,1
557,Scizor,poison,2,0,0,0,0,0,0,2,0,0,0,1,3,0,1,1,0
558,Scolipede,poison,1,0,0,0,0,0,0,0,0,0,0,1,12,0,4,0,0
559,Scrafty,poison,0,1,4,0,0,0,1,0,0,1,1,3,5,0,4,0,0
560,Scraggy,poison,0,1,4,0,0,0,1,0,0,1,1,3,5,0,4,0,0
561,Scyther,bug,2,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,0
562,Seadra,dragon,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,2
563,Seaking,poison,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3
564,Sealeo,ice,0,0,0,0,0,0,0,0,1,0,0,3,2,0,3,0,3
565,Seedot,grass,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0
566,Seel,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2
567,Seismitoad,poison,0,0,0,0,0,0,0,0,0,1,0,3,7,0,3,0,1
568,Sentret,ice,0,0,0,0,0,1,1,0,1,1,0,4,2,0,0,0,1
569,Serperior,grass,0,0,2,0,0,0,0,0,0,4,1,1,2,0,1,0,1
570,Servine,grass,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,1
571,Seviper,poison,0,1,1,0,0,0,0,0,0,0,0,0,12,0,1,0,0
572,Sewaddle,bug,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
573,Sharpedo,poison,0,1,0,0,0,0,0,0,0,0,0,3,6,0,2,0,1
574,Shaymin,grass,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
575,Shaymin-Sky,grass,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
576,Shedinja,bug,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
577,Shelgon,dragon,0,0,6,0,0,0,2,0,0,0,0,1,2,0,3,0,0
578,Shellder,ice,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1
579,Shellos,poison,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1
580,Shelmet,poison,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
581,Shieldon,rock,0,0,0,0,0,0,1,0,1,0,2,2,2,0,5,0,0
582,Shiftry,rock,0,1,0,0,0,0,0,0,0,2,1,1,2,0,3,0,0
583,Shinx,ice,0,0,0,1,0,0,1,0,0,0,1,2,2,0,0,0,0
584,Shroomish,poison,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
585,Shuckle,rock,1,0,0,0,0,0,0,0,0,0,1,0,5,0,6,0,0
586,Shuppet,poison,0,1,0,0,0,1,0,0,2,0,1,1,3,0,0,0,0
587,Sigilyph,flying,0,2,0,0,0,0,0,3,0,0,3,1,2,1,0,1,0
588,Silcoon,poison,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
589,Simipour,ice,0,0,0,0,1,0,0,0,0,1,0,5,3,0,3,0,3
590,Simisage,ice,0,0,0,0,1,0,0,0,0,2,0,3,3,0,3,0,0
591,Simisear,fire,0,0,0,0,1,0,3,0,0,1,0,3,3,0,3,0,0
592,Skarmory,rock,0,1,0,0,0,0,0,2,1,0,0,1,2,0,3,1,0
593,Skiddo,poison,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0
594,Skiploom,poison,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0
595,Skitty,ice,0,0,0,0,0,1,0,0,1,1,0,3,2,0,0,0,1
596,Skorupi,poison,1,1,0,0,0,0,0,0,0,0,0,2,14,0,2,0,0
597,Skrelp,poison,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,2
598,Skuntank,poison,0,1,0,0,0,0,1,0,0,0,0,1,8,0,1,0,0
599,Slaking,rock,0,0,0,0,0,0,2,0,1,0,1,2,3,0,4,0,1
600,Slakoth,poison,0,0,0,0,0,0,2,0,1,0,0,2,3,0,3,0,1
601,Sliggoo,poison,0,0,2,0,0,0,0,0,1,0,0,1,6,0,1,0,1
602,Slowbro,ice,0,0,0,0,0,0,1,0,1,1,1,3,2,0,1,0,2
603,Slowking,ice,0,0,1,0,0,0,1,0,1,1,1,3,2,0,1,0,2
604,Slowpoke,ice,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,0,2
605,Slugma,rock,0,0,0,0,0,0,1,0,1,0,0,0,3,0,4,0,0
606,Slurpuff,poison,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0
607,Smeargle,bug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,Smoochum,ice,0,1,0,0,0,0,0,0,0,1,0,3,2,1,0,0,1
609,Sneasel,ice,0,1,0,0,0,1,0,0,1,0,0,5,4,0,1,0,0
610,Snivy,grass,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,1
611,Snorlax,rock,0,0,0,0,0,1,2,0,1,0,1,3,3,0,4,0,1
612,Snorunt,ice,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
613,Snover,ice,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,1
614,Snubbull,ice,0,0,0,0,0,0,3,0,0,0,0,4,3,0,1,0,1
615,Solosis,ground,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,0,0
616,Solrock,rock,0,0,0,0,0,0,2,1,0,1,3,0,2,0,4,0,0
