,Pokemon,ClusterPokemones
736,Wormadam,Movimientos Especiales
737,Wormadam-Sandy,Movimientos Especiales
738,Wormadam-Trash,Movimientos Especiales
739,Wurmple,Movimientos Genericos
740,Wynaut,Movimientos Genericos
741,Xatu,Movimientos Especiales
742,Yamask,Movimientos Especiales
743,Yanma,Movimientos Especiales
744,Yanmega,Movimientos Especiales
745,Yveltal,Movimientos Especiales
746,Zangoose,Movimiento Ofensivo
747,Zapdos,Movimientos Especiales
748,Zebstrika,Movimientos Especiales
749,Zekrom,Movimiento Ofensivo
750,Zigzagoon,Movimiento Ofensivo
751,Zoroark,Movimientos Especiales
752,Zorua,Movimientos Especiales
753,Zubat,Movimientos Especiales
754,Zweilous,Movimiento Ofensivo
755,Zygarde,Movimiento Ofensivo
