,Pokemon,ClusterPokemones,TipoDominante
634,Stoutland,Movimiento Ofensivo,ice
635,Stunfisk,Movimiento Ofensivo,poison
636,Stunky,Movimiento Ofensivo,poison
637,Sudowoodo,Movimiento Ofensivo,rock
638,Suicune,Movimiento Ofensivo,ice
639,Sunflora,Movimientos Especiales,grass
640,Sunkern,Movimientos Especiales,grass
641,Surskit,Movimientos Especiales,poison
642,Swablu,Movimientos Especiales,ice
643,Swadloon,Movimientos Especiales,bug
644,Swalot,Movimientos Especiales,poison
645,Swampert,Movimiento Ofensivo,rock
646,Swanna,Movimientos Especiales,water
647,Swellow,Movimientos Especiales,flying
648,Swinub,Movimiento Ofensivo,rock
649,Swirlix,Movimientos Especiales,poison
650,Swoobat,Movimientos Especiales,poison
651,Sylveon,Movimientos Especiales,ice
652,Taillow,Movimientos Especiales,flying
653,Talonflame,Movimientos Especiales,flying
654,Tangela,Movimientos Especiales,poison
655,Tangrowth,Movimientos Especiales,poison
656,Tauros,Movimiento Ofensivo,rock
657,Teddiursa,Movimiento Ofensivo,ice
658,Tentacool,Movimiento Ofensivo,poison
659,Tentacruel,Movimiento Ofensivo,poison
660,Tepig,Movimiento Ofensivo,poison
661,Terrakion,Movimiento Ofensivo,poison
662,Throh,Movimiento Ofensivo,poison
663,Thundurus,Movimiento Ofensivo,poison
664,Thundurus-Therian,Movimiento Ofensivo,poison
665,Timburr,Movimiento Ofensivo,poison
666,Tirtouga,Movimiento Ofensivo,rock
667,Togekiss,Movimientos Especiales,flying
668,Togepi,Movimientos Especiales,ice
669,Togetic,Movimientos Especiales,flying
670,Torchic,Movimiento Ofensivo,fire
671,Torkoal,Movimiento Ofensivo,poison
672,Tornadus,Movimiento Ofensivo,poison
673,Tornadus-Therian,Movimiento Ofensivo,poison
674,Torterra,Movimientos Especiales,rock
675,Totodile,Movimiento Ofensivo,water
676,Toxicroak,Movimiento Ofensivo,poison
677,Tranquill,Movimientos Especiales,flying
678,Trapinch,Movimiento Ofensivo,rock
679,Treecko,Movimiento Ofensivo,grass
680,Trevenant,Movimientos Especiales,poison
681,Tropius,Movimientos Especiales,dragon
682,Trubbish,Movimientos Especiales,poison
683,Turtwig,Movimientos Especiales,grass
684,Tympole,Movimiento Ofensivo,poison
685,Tynamo,Movimientos Genericos,ground
686,Typhlosion,Movimiento Ofensivo,rock
687,Tyranitar,Movimiento Ofensivo,rock
688,Tyrantrum,Movimiento Ofensivo,dragon
689,Tyrogue,Movimientos Especiales,poison
690,Tyrunt,Movimiento Ofensivo,dragon
691,Umbreon,Movimientos Especiales,ice
692,Unfezant,Movimientos Especiales,flying
693,Unown,Movimientos Especiales,bug
694,Ursaring,Movimiento Ofensivo,ice
695,Uxie,Movimientos Especiales,poison
696,Vanillish,Movimientos Especiales,ice
697,Vanillite,Movimientos Especiales,ice
698,Vanilluxe,Movimientos Especiales,ice
699,Vaporeon,Movimiento Ofensivo,ice
700,Venipede,Movimientos Especiales,poison
701,Venomoth,Movimientos Especiales,poison
702,Venonat,Movimientos Especiales,poison
703,Venusaur,Movimientos Especiales,poison
704,Vespiquen,Movimientos Especiales,poison
705,Vibrava,Movimiento Ofensivo,rock
706,Victini,Movimiento Ofensivo,fire
707,Victreebel,Movimientos Especiales,poison
708,Vigoroth,Movimiento Ofensivo,rock
709,Vileplume,Movimientos Especiales,poison
710,Virizion,Movimientos Especiales,poison
711,Vivillon,Movimientos Especiales,poison
712,Volbeat,Movimientos Especiales,bug
713,Volcanion,Movimiento Ofensivo,poison
714,Volcarona,Movimientos Especiales,poison
715,Voltorb,Movimientos Especiales,poison
716,Vullaby,Movimientos Especiales,flying
717,Vulpix,Movimientos Especiales,fire
718,Wailmer,Movimiento Ofensivo,water
719,Wailord,Movimiento Ofensivo,water
720,Walrein,Movimiento Ofensivo,ice
721,Wartortle,Movimiento Ofensivo,water
722,Watchog,Movimiento Ofensivo,poison
723,Weavile,Movimiento Ofensivo,ice
724,Weedle,Movimientos Genericos,poison
725,Weepinbell,Movimientos Especiales,poison
726,Weezing,Movimientos Especiales,poison
727,Whimsicott,Movimientos Especiales,poison
728,Whirlipede,Movimientos Especiales,poison
729,Whiscash,Movimiento Ofensivo,rock
730,Whismur,Movimiento Ofensivo,ice
731,Wigglytuff,Movimientos Especiales,ice
732,Wingull,Movimientos Especiales,water
733,Wobbuffet,Movimientos Genericos,bug
734,Woobat,Movimientos Especiales,poison
735,Wooper,Movimiento Ofensivo,poison
736,Wormadam,Movimientos Especiales,poison
737,Wormadam-Sandy,Movimientos Especiales,poison
738,Wormadam-Trash,Movimientos Especiales,poison
739,Wurmple,Movimientos Genericos,poison
740,Wynaut,Movimientos Genericos,bug
741,Xatu,Movimientos Especiales,flying
742,Yamask,Movimientos Especiales,poison
743,Yanma,Movimientos Especiales,bug
744,Yanmega,Movimientos Especiales,bug
745,Yveltal,Movimientos Especiales,dragon
746,Zangoose,Movimiento Ofensivo,ice
747,Zapdos,Movimientos Especiales,flying
748,Zebstrika,Movimientos Especiales,electric
749,Zekrom,Movimiento Ofensivo,dragon
750,Zigzagoon,Movimiento Ofensivo,ice
751,Zoroark,Movimientos Especiales,poison
752,Zorua,Movimientos Especiales,ice
753,Zubat,Movimientos Especiales,poison
754,Zweilous,Movimiento Ofensivo,dragon
755,Zygarde,Movimiento Ofensivo,dragon
